127.0.0.1 - - [07/Aug/2024:16:59:15 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [07/Aug/2024:16:59:37 +0800] "GET /Admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [07/Aug/2024:16:59:37 +0800] "GET /Admin/css/usersLogin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [07/Aug/2024:16:59:37 +0800] "GET /Admin/js/jquery-1.3.2.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Aug/2024:16:59:38 +0800] "GET /Admin/images/favicon.ico HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [07/Aug/2024:16:59:40 +0800] "GET /Admin/css/usersLogin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "POST /Admin/login HTTP/1.1" 200 8700
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/css/font.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/css/xadmin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/js/jquery-1.3.2.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/layui_exts/excel.js HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/js/xadmin.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:16 +0800] "GET /Admin/lib/layui/layui.js HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:00:17 +0800] "GET /Admin/images/01.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:06:45 +0800] "GET /Admin/js/jquery-1.3.2.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [07/Aug/2024:17:06:45 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
